id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1038891984735029084,Sunny cosy delightful beach home,549379421,Christina,,Surf Coast,-38.40876,144.18039,Private room,150.0,2,14,2024-11-04,1.14,1,342,13,
1038938346438528170,Home among the gums,2232852,Lucy,,Surf Coast,-38.3214651,144.3089391,Entire home/apt,407.0,3,4,2024-03-31,0.33,1,260,4,
1038989921259422407,Oceanview Getaway No.231,83857964,Phoebe,,Glenelg,-38.32693,141.60245,Entire home/apt,370.0,2,16,2024-07-19,1.29,1,264,14,
1039191711986552118,Serenity by the Sea | Adam's Retreat,476707650,Sophie,,Greater Geelong,-38.12981,144.69816,Entire home/apt,418.0,2,4,2024-11-05,0.36,9,52,4,
1039316353328566604,Salt Gypsy I Walk to the Beach and into Town!,98362024,Ji,,Surf Coast,-38.45698,144.1068,Entire home/apt,464.0,2,0,,,113,165,0,
1039348977436105221,Bells Beach Surf Pad.,93373848,Red,,Surf Coast,-38.35927576499695,144.26902109683806,Entire home/apt,150.0,1,14,2024-12-25,1.16,1,234,14,
1039440094618767661,'Light House'-Nurture Sanctuary,37642538,Libby,,Greater Geelong,-38.26438,144.61083,Entire home/apt,249.0,1,18,2024-12-25,1.42,1,257,15,
1039456083928561017,Blue Waters Retreat Ocean Grove,549526998,Robert,,Greater Geelong,-38.25712,144.51213,Entire home/apt,310.0,1,26,2024-12-25,2.12,1,342,25,
1039501084775209808,Lovely room in Koroit,549534739,Senira,,Moyne,-38.30091,142.35458,Private room,120.0,1,30,2024-12-14,2.43,1,333,28,
1039537530490261955,Retro Gem on Jackson,173429646,Sally - Airready,,Surf Coast,-38.4116039,144.1786298,Entire home/apt,586.0,2,14,2024-12-08,1.15,44,63,14,
1040024364200556670,Deluxe Queen Suite,548183052,Apollo Dream,,Colac Otway,-38.75015,143.65791,Entire home/apt,394.0,1,19,2024-11-04,1.48,3,272,11,
1040149968730243345,"Thorn Cottage, Barwon Heads",27192016,Getaway Rentals,,Greater Geelong,-38.27582,144.49032,Entire home/apt,502.0,2,1,2024-11-05,0.56,33,321,1,
1040196681225672274,Warrnambool River Retreat,40447804,Yachthouse,,Warrnambool,-38.39064,142.51845,Private room,300.0,3,0,,,2,85,0,
1040357464529047737,The Chipson- Beach Cottage,380216083,Liam,,Colac Otway,-38.7208409,143.7143142,Entire home/apt,457.0,2,81,2024-12-13,6.39,1,229,78,
1040740576835229508,Seaside on Smith,98384524,Smyth Real Estate,,Surf Coast,-38.5406337,143.9742776,Entire home/apt,1160.0,3,0,,,29,336,0,
1040757436140100751,Coastal Serenity - Perfect for two families,201188681,Nick,,Greater Geelong,-38.2775534,144.605747,Entire home/apt,750.0,2,11,2024-11-23,1.0,1,233,11,
1040788594329959481,Curlewis Farm,11132246,Aaron,,Greater Geelong,-38.199565048446,144.54658670052,Entire home/apt,765.0,1,11,2024-12-14,1.09,61,321,11,
1040820261179175252,Marriners Lookout Retreat,23012645,Lisa,,Colac Otway,-38.7425714,143.6692258,Entire home/apt,659.0,2,62,2024-12-16,5.08,37,258,62,
1040841744649355359,Casa de Ponds,4414415,Jane,,Greater Geelong,-38.21009,144.30312,Entire home/apt,500.0,3,3,2024-06-27,0.25,1,0,3,
1040872669355545620,Cabinesque Comfort—A Refreshing Beachside Retreat,496941607,Audrey And Willem,,Greater Geelong,-38.2768253,144.488414,Entire home/apt,303.0,2,15,2024-09-27,1.21,14,343,13,
1040915968113367711,Family Beach Haven in Coastal Paradise,8339205,Eve,,Surf Coast,-38.325,144.31368,Entire home/apt,851.0,2,20,2024-11-30,1.62,26,355,19,
1040953867634616374,Lanigan's - By the Bay,91435876,Stay Exclusive,,Greater Geelong,-38.19329,144.70797,Entire home/apt,912.0,2,3,2024-03-27,0.24,16,346,2,
1040980629815623785,'Willow Cottage' Drysdale Cottage in Heart of Town,476707650,Sophie,,Greater Geelong,-38.17725,144.57153,Entire home/apt,324.0,2,6,2024-12-04,0.49,9,64,6,
1041049650244683098,Stay at affordable Queen bed room,260348204,Arpit,,Greater Geelong,-38.12091,144.33139,Private room,54.0,1,62,2024-12-28,4.91,2,84,56,
1041057110780660346,Stay at affordable Double Bedroom,260348204,Arpit,,Greater Geelong,-38.12001,144.33094,Private room,53.0,1,81,2024-12-25,6.53,2,84,77,
1041479823900682897,Tiny on Barkly,99986926,Steve And Sue,,Greater Geelong,-38.16173,144.37146,Entire home/apt,154.0,2,49,2024-12-26,4.65,1,338,49,
1041581787613353267,Cosy Court ID - AS150,98362024,Ji,,Surf Coast,-38.40942,144.16734,Entire home/apt,341.0,2,1,2024-01-07,0.08,113,241,1,
1041589852561632269,Sandy Escape,11132246,Aaron,,Greater Geelong,-38.1336211,144.7061766,Entire home/apt,177.0,2,1,2024-02-03,0.09,61,334,1,
1042154696838419300,Seaside Retreat: Steps from Surf and Cafés,51678707,Ocean Edge Holiday Rentals: Rebecca,,Greater Geelong,-38.27042,144.52013,Entire home/apt,728.0,2,14,2024-12-14,1.15,137,238,14,
1042392005080241533,The Deck House - Anglesea,173429646,Sally - Airready,,Surf Coast,-38.4034566,144.1915846,Entire home/apt,621.0,2,9,2024-09-21,0.74,44,185,9,
1042423838531960404,Links view coastal sanctuary with heated pool,51678707,Ocean Edge Holiday Rentals: Rebecca,,Greater Geelong,-38.28148,144.60355,Entire home/apt,1254.0,2,2,2024-01-07,0.17,137,0,2,
1042539024511073010,Heated Pool and Spa Coastal elegance,51678707,Ocean Edge Holiday Rentals: Rebecca,,Surf Coast,-38.30266,144.3359,Entire home/apt,1058.0,2,8,2024-04-06,0.66,137,3,8,
1043120699710375182,"Sun, Sand and Surf Ocean Getaway Studio-One",550289681,Avril,,Surf Coast,-38.31752,144.32329,Entire home/apt,213.0,2,39,2024-11-11,3.27,2,138,39,
1043690435602937681,Sea Breeze Pacific Drive Torquay,449664812,Host On The Coast,,Surf Coast,-38.3111967,144.3414573,Entire home/apt,10692.0,2,10,2024-11-19,0.99,61,61,10,
1043692642849233029,The Blue Pearl - opposite the beach!,173429646,Sally - Airready,,Surf Coast,-38.4215531,144.1779268,Entire home/apt,717.0,2,34,2024-12-12,2.76,44,158,33,
